Facility ID,Facility_Name_,State_,Excess_Readmission_Ratio_READM30AMIHRRP,Excess_Readmission_Ratio_READM30CABGHRRP,Excess_Readmission_Ratio_READM30COPDHRRP,Excess_Readmission_Ratio_READM30HFHRRP,Excess_Readmission_Ratio_READM30HIPKNEEHRRP,Excess_Readmission_Ratio_READM30PNHRRP,Expected_Readmission_Rate_READM30AMIHRRP,Expected_Readmission_Rate_READM30CABGHRRP,Expected_Readmission_Rate_READM30COPDHRRP,Expected_Readmission_Rate_READM30HFHRRP,Expected_Readmission_Rate_READM30HIPKNEEHRRP,Expected_Readmission_Rate_READM30PNHRRP,Number_of_Readmissions_READM30AMIHRRP,Number_of_Readmissions_READM30CABGHRRP,Number_of_Readmissions_READM30COPDHRRP,Number_of_Readmissions_READM30HFHRRP,Number_of_Readmissions_READM30HIPKNEEHRRP,Number_of_Readmissions_READM30PNHRRP,Predicted_Readmission_Rate_READM30AMIHRRP,Predicted_Readmission_Rate_READM30CABGHRRP,Predicted_Readmission_Rate_READM30COPDHRRP,Predicted_Readmission_Rate_READM30HFHRRP,Predicted_Readmission_Rate_READM30HIPKNEEHRRP,Predicted_Readmission_Rate_READM30PNHRRP,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards),Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Lower_Confidence_Limit,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Number_of_Urinary_Catheter_Days,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Observed_Cases,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Predicted_Cases,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Upper_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards),Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Lower_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Observed_Cases,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Predicted_Cases,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Upper_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection:_Number_of_Device_Days,Infection_Clostridium_Difficile_(C.Diff),Infection_Clostridium_Difficile_(C.Diff):_Lower_Confidence_Limit,Infection_Clostridium_Difficile_(C.Diff):_Observed_Cases,Infection_Clostridium_Difficile_(C.Diff):_Patient_Days,Infection_Clostridium_Difficile_(C.Diff):_Predicted_Cases,Infection_Clostridium_Difficile_(C.Diff):_Upper_Confidence_Limit,Infection_MRSA_Bacteremia,Infection_MRSA_Bacteremia:_Lower_Confidence_Limit,Infection_MRSA_Bacteremia:_Observed_Cases,Infection_MRSA_Bacteremia:_Patient_Days,Infection_MRSA_Bacteremia:_Predicted_Cases,Infection_MRSA_Bacteremia:_Upper_Confidence_Limit,Infection_SSI__Abdominal_Hysterectomy,Infection_SSI__Abdominal_Hysterectomy:_Lower_Confidence_Limit,Infection_SSI__Abdominal_Hysterectomy:_Number_of_Procedures,Infection_SSI__Abdominal_Hysterectomy:_Observed_Cases,Infection_SSI__Abdominal_Hysterectomy:_Predicted_Cases,Infection_SSI__Abdominal_Hysterectomy:_Upper_Confidence_Limit,Infection_SSI__Colon_Surgery,Infection_SSI__Colon_Surgery:_Lower_Confidence_Limit,Infection_SSI__Colon_Surgery:_Number_of_Procedures,Infection_SSI__Colon_Surgery:_Observed_Cases,Infection_SSI__Colon_Surgery:_Predicted_Cases,Infection_SSI__Colon_Surgery:_Upper_Confidence_Limit,ZIP Code,ADI_National_Rank,ADI_State_Rank
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,0.9483,0.9509,0.933,1.0597,0.9654,0.9715,13.7235,10.1898,16.5637,20.3495,4.4211,16.5863,36.0,13.0,16.0,151.0,,77.0,13.0146,9.6899,15.4544,21.5645,4.268,16.1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,MARSHALL MEDICAL CENTERS,AL,,,0.8696,0.9935,0.8497,0.8495,,,17.909,20.2835,4.9836,15.7296,,,14.0,35.0,,30.0,,,15.5737,20.1511,4.2346,13.3621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,NORTH ALABAMA MEDICAL CENTER,AL,0.9704,1.0846,0.9463,0.9666,0.9762,1.0112,12.2373,11.4233,18.7982,19.8318,4.9039,16.6008,36.0,14.0,24.0,95.0,,105.0,11.875,12.3902,17.788,19.1704,4.7872,16.7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,MIZELL MEMORIAL HOSPITAL,AL,,,1.0277,1.0674,0.9695,1.0488,,,17.3362,19.7621,4.3694,15.4636,,,,12.0,,17.0,,,17.8169,21.0944,4.2361,16.2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,ST. VINCENT'S EAST,AL,0.9675,1.1146,1.012,1.0439,0.9541,1.0589,12.2521,10.7622,17.5152,19.474,5.2587,16.2255,16.0,12.0,11.0,63.0,,63.0,11.8541,11.9953,17.7252,20.3295,5.0175,17.1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,DEKALB REGIONAL MEDICAL CENTER,AL,1.0125,,1.0044,1.0505,0.9055,0.9685,11.1395,,13.3406,18.7646,3.9437,14.2595,,,,20.0,,20.0,11.2791,,13.3991,19.7116,3.5711,13.8098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,SHELBY BAPTIST MEDICAL CENTER,AL,1.0186,1.0792,0.9794,1.0005,1.1477,1.0434,14.1707,11.2418,19.808,20.5005,5.1535,16.6237,12.0,,,47.0,,40.0,14.4337,12.1319,19.4001,20.5099,5.9146,17.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,HELEN KELLER HOSPITAL,AL,,,1.0188,0.9294,0.9039,1.0441,,,16.8912,19.1001,3.4198,14.6665,,,29.0,40.0,,39.0,,,17.2095,17.7522,3.0913,15.3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,DALE MEDICAL CENTER,AL,,,0.9912,1.0522,,1.058,,,18.0228,20.4608,,14.8668,,,,11.0,,14.0,,,17.8648,21.5293,,15.7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,FLOYD CHEROKEE MEDICAL CENTER,AL,,,,,,0.9728,,,,,,14.4685,,,,,,,,,,,,14.0753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,BAPTIST MEDICAL CENTER SOUTH,AL,1.0485,1.1302,0.9825,1.038,1.0708,1.0023,13.6247,10.3983,19.049,20.324,5.0306,16.9786,30.0,,12.0,67.0,,25.0,14.286,11.752,18.7156,21.0958,5.3868,17.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,JACKSON HOSPITAL & CLINIC INC,AL,0.9784,0.9257,0.9693,1.0036,,1.0422,14.7409,11.3627,18.1793,19.2384,,16.5361,20.0,,12.0,63.0,,43.0,14.4231,10.5183,17.6207,19.3075,,17.2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,1.0742,1.0358,0.9654,1.0648,0.9304,0.905,10.884,9.7862,19.4632,18.6901,4.5094,14.7207,11.0,,,40.0,11.0,,11.692,10.1365,18.7893,19.9011,4.1957,13.3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1.1,1.0866,0.9857,0.9451,1.125,1.1073,14.2709,11.5254,19.6981,19.9019,8.5228,16.3256,50.0,47.0,29.0,123.0,,73.0,15.6982,12.5237,19.4171,18.8084,9.5878,18.0778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
